Wall time,Step,Value
1652926513.6425135,68064000,-0.3293437659740448
1652926847.3064446,68394800,-0.3835211992263794
1652927122.0087073,68725800,-0.13791881501674652
1652927431.5042064,69057000,-0.293015718460083
1652927706.5888264,69391000,-0.16352976858615875
1652927965.9209259,69723400,-0.13445906341075897
1652928249.720569,70056800,-0.2033592313528061
1652928518.637889,70388200,-0.1632978469133377
1652928775.4217014,70694200,-0.14818361401557922
1652929049.181828,71026200,-0.18223179876804352
1652929345.887367,71362200,-0.24812966585159302
1652929630.172482,71693400,-0.20769894123077393
1652929933.0194082,72025400,-0.27327483892440796
1652930254.9871264,72331800,-0.336419939994812
1652930592.3465524,72661800,-0.3982861638069153
1652930957.4900033,72994400,-0.47823190689086914
1652931252.6355724,73325800,-0.25336694717407227
1652931521.1432924,73658400,-0.15904028713703156
1652931821.592023,73965200,-0.28147438168525696
1652932104.5449913,74299400,-0.21111972630023956
1652932366.0460634,74579200,-0.1637551188468933
1652932647.5819058,74913800,-0.2026553452014923
1652932943.006956,75243800,-0.25365355610847473
1652933243.535015,75548800,-0.2817119359970093
1652933560.8529708,75881000,-0.3247475028038025
1652933883.0121832,76217000,-0.33399197459220886
1652934162.576019,76549000,-0.19214452803134918
1652934462.8965337,76854000,-0.26855164766311646
1652934784.497642,77188400,-0.3278270661830902
1652935111.7592945,77497600,-0.33258190751075745
1652935430.787366,77833400,-0.31580013036727905
1652935717.0249462,78166400,-0.21268445253372192
1652936044.490747,78471000,-0.33810725808143616
1652936301.7843406,78804200,-0.1250929832458496
1652936600.4973094,79137400,-0.2617368996143341
1652936871.61455,79445200,-0.1861622929573059
1652937177.424722,79781400,-0.2796246111392975
1652937440.632944,80114400,-0.14334668219089508
1652937939.7255206,80397000,-0.9995827674865723
1652938216.0563352,80706200,-0.1875256896018982
1652938489.835586,81038200,-0.18073134124279022
1652938772.6909919,81370600,-0.20357033610343933
1652939084.9722514,81699400,-0.25315335392951965
1652939414.5581284,82033600,-0.3611752688884735
1652939694.5004008,82344400,-0.21567316353321075
1652940007.161985,82673600,-0.30976518988609314
1652940289.1317284,83005800,-0.2001696079969406
1652940584.7463162,83314800,-0.23247310519218445
1652940865.046772,83644200,-0.2045314908027649
1652941133.3768003,83926000,-0.184373140335083
1652941392.6386843,84261200,-0.12900429964065552
1652941680.5327494,84571000,-0.233734592795372
1652941961.3367362,84901400,-0.20557954907417297
1652942238.802618,85234200,-0.18714691698551178
1652942492.6655629,85544400,-0.12698113918304443
1652942776.0949278,85878000,-0.20391800999641418
1652943057.2922826,86211000,-0.19849854707717896
1652943307.163527,86493200,-0.12045590579509735
1652943563.3557122,86823000,-0.12485386431217194
1652943832.619911,87155000,-0.16339892148971558
1652944245.098807,87489800,-0.6329280138015747
1652944535.344062,87821200,-0.2241121083498001
1652944849.9971528,88127200,-0.3088543117046356
1652945123.650587,88461200,-0.1730252057313919
1652945381.3198745,88743400,-0.13637647032737732
1652945669.7529464,89074600,-0.2253744751214981
1652945930.3423703,89383800,-0.12511484324932098
1652946273.6720204,89716800,-0.3979586362838745
1652946561.0718584,90047600,-0.21426568925380707
1652946880.4341643,90380400,-0.3350679874420166
1652947187.689123,90712400,-0.28152185678482056
1652947464.4049246,91044000,-0.1835339218378067
1652947729.2212245,91379200,-0.1387719064950943
1652948048.4904451,91661000,-0.32878223061561584
1652948318.141115,91994000,-0.1576957404613495
1652948606.9824111,92324800,-0.21880151331424713
1652948880.298089,92605200,-0.1896752566099167
1652949169.7221184,92937600,-0.22554081678390503
1652949470.6667306,93243800,-0.26020368933677673
1652949835.565128,93578400,-0.47132235765457153
1652950095.994379,93910800,-0.13264930248260498
1652950382.6569066,94244400,-0.21748653054237366
1652950657.3694794,94527400,-0.18443778157234192
1652950925.2760491,94860200,-0.15765342116355896
1652951236.3806396,95166000,-0.2879435122013092
1652951561.802959,95501000,-0.34532955288887024
1652951875.651855,95806400,-0.2989804148674011
1652952254.3042867,96140400,-0.5231431722640991
1652952586.4036915,96475200,-0.35453540086746216
1652952950.6158233,96807600,-0.47096535563468933
1652953248.03885,97141600,-0.24548427760601044
1652953556.7176464,97473200,-0.2862433195114136
1652953859.6282873,97805000,-0.27076709270477295
1652954144.5265844,98087800,-0.22418831288814545
1652954439.3256714,98420200,-0.23628923296928406
1652954739.1763217,98754400,-0.2535651624202728
1652955056.6951292,99087400,-0.31993526220321655
1652955327.8360698,99395800,-0.16955529153347015
1652955620.604466,99729400,-0.23902757465839386
1652956316.6377504,100059600,-1.7738021612167358
1652956606.5213654,100392600,-0.2246730923652649
1652956913.086403,100723600,-0.27866488695144653
1652957211.4589167,101029200,-0.27024704217910767
1652957512.963008,101364000,-0.25717100501060486
1652957812.7881253,101694800,-0.25836119055747986
1652958076.4507258,102025800,-0.15039771795272827
1652958339.6549473,102355200,-0.14528018236160278
1652958621.0565505,102688200,-0.20313760638237
1652958914.8390083,103018400,-0.24452166259288788
1652959201.0487478,103350000,-0.2141554355621338
1652959485.7369223,103681200,-0.2083112746477127
1652959805.8354912,104013200,-0.32546868920326233
1652960154.709852,104320200,-0.41763103008270264
1652960437.8865323,104656400,-0.19872799515724182
1652960706.473411,104991400,-0.1649910807609558
1652960987.343269,105301000,-0.1943315863609314
1652961341.1798728,105635800,-0.434063196182251
1652961692.5059614,105967600,-0.3822929859161377
1652961999.925167,106300200,-0.28239941596984863
1652962286.3080633,106632200,-0.21629764139652252
1652962616.9369118,106965800,-0.3563404083251953
1652962926.570291,107275000,-0.2790065109729767
1652963235.7173028,107605400,-0.29259705543518066
1652963578.8623607,107939000,-0.4114750325679779
1652963931.4543726,108247600,-0.4420984983444214
1652964230.083022,108581000,-0.25506216287612915
1652964680.803791,108912200,-0.7780614495277405
1652965042.7417672,109245800,-0.46464425325393677
1652965398.1502573,109524200,-0.43470340967178345
1652965843.7575607,109857000,-0.7635138630867004
1652966160.4104555,110189200,-0.31194356083869934
1652966431.2738845,110469000,-0.163837730884552
1652966690.250079,110800800,-0.1350684016942978
1652967003.7576678,111134200,-0.29525983333587646
1652967322.4700344,111463800,-0.32852888107299805
1652967620.7056532,111799000,-0.24800044298171997
1652968006.333574,112130200,-0.5480535626411438
1652968261.4875026,112459600,-0.12043219804763794
1652968578.4288597,112793000,-0.3109132945537567
1652968873.4659626,113126400,-0.24424400925636292
1652969191.0912635,113456000,-0.3265935778617859
1652969483.4008026,113787200,-0.23460841178894043
1652969772.2003112,114119800,-0.2243083268404007
1652970092.3407705,114453000,-0.324965238571167
1652970352.0221555,114784400,-0.13220438361167908
1652970672.0065722,115117800,-0.31819775700569153
1652970995.4697218,115455600,-0.329571396112442
1652971296.2418685,115785200,-0.2673301696777344
1652971596.8025763,116118000,-0.2557825744152069
1652971862.9688282,116452200,-0.15032866597175598
1652972144.7497456,116784000,-0.1917160153388977
1652972432.6694477,117115800,-0.22780127823352814
1652972729.2042644,117448600,-0.24796564877033234
1652973026.7144706,117781400,-0.24222120642662048
1652973288.9929795,118111600,-0.1410757601261139
1652973571.8175652,118439800,-0.2022646963596344
1652973881.7276163,118775200,-0.28577920794487
1652974170.261637,119105800,-0.22659878432750702
1652974456.480946,119439800,-0.21427614986896515
1652974765.4168599,119771600,-0.2899174690246582
1652975033.493858,120102200,-0.15449553728103638
1652975317.2177582,120431800,-0.20490773022174835
1652975591.2162375,120762800,-0.17696265876293182
1652975901.71413,121096000,-0.2916300594806671
1652976215.9036837,121430000,-0.3030964434146881
1652976499.4613178,121766800,-0.1994343400001526
1652976786.523253,122099600,-0.2217971235513687
1652977070.8330662,122430800,-0.2117127925157547
1652977443.366816,122761400,-0.5145667195320129
1652977755.3942075,123094800,-0.29355955123901367
1652978044.5445852,123425200,-0.23288831114768982
1652978366.2942975,123757400,-0.3410000205039978
1652978659.1415682,124088600,-0.23120267689228058
1652979381.0593457,124423800,-1.880616307258606
1652979670.147913,124756600,-0.2238462269306183
1652979955.9584584,125037800,-0.2265392541885376
1652980245.9550922,125366000,-0.23513764142990112
1652980552.6169515,125693800,-0.28906527161598206
1652980868.404678,126027600,-0.3103915750980377
1652981195.7672095,126361000,-0.3446618616580963
1652981505.812234,126691400,-0.29916346073150635
1652981805.9133272,127026000,-0.2504095435142517
1652982100.8893607,127361000,-0.2428789883852005
1652982389.725814,127641600,-0.2258724570274353
1652982716.8806536,127970800,-0.36038142442703247
1652983057.8966537,128303800,-0.40002307295799255
1652983406.1347537,128632800,-0.42905691266059875
1652983705.8293426,128963200,-0.26531362533569336
1652984028.5478103,129294000,-0.346260666847229
1652984320.841297,129627800,-0.22536171972751617
1652984622.910204,129960000,-0.2645796537399292
1652984950.2558498,130290800,-0.31289806962013245
1652985322.1763973,130623000,-0.5069850087165833
1652985628.0245883,130955600,-0.27254927158355713
1652985940.6009185,131292400,-0.2878051698207855
1652986269.3324084,131626200,-0.3469737470149994
