indirect_braking[kN]:,vitesse[km/h]:-5.0,vitesse[km/h]:0.0,vitesse[km/h]:5.0,vitesse[km/h]:10.0,vitesse[km/h]:15.0,vitesse[km/h]:20.0,vitesse[km/h]:25.0,vitesse[km/h]:30.0,vitesse[km/h]:35.0,vitesse[km/h]:40.0,vitesse[km/h]:45.0,vitesse[km/h]:50.0,vitesse[km/h]:55.0,vitesse[km/h]:60.0,vitesse[km/h]:65.0,vitesse[km/h]:70.0,vitesse[km/h]:75.0,vitesse[km/h]:80.0,vitesse[km/h]:85.0,vitesse[km/h]:90.0,vitesse[km/h]:95.0,vitesse[km/h]:100.0
RE[bar]:4.205,48.316,48.316,48.316,46.751,45.155,43.703,42.523,41.664,41.093,40.726,40.465,40.233,39.983,39.694,39.366,39.009,38.638,38.271,37.927,37.623,37.375,37.187
RE[bar]:4.22,47.617,47.617,47.617,46.081,44.524,43.113,41.972,41.142,40.587,40.223,39.956,39.715,39.456,39.164,38.841,38.496,38.142,37.793,37.467,37.179,36.943,36.764
RE[bar]:4.235,46.911,46.911,46.911,45.409,43.892,42.525,41.424,40.625,40.087,39.727,39.455,39.204,38.937,38.644,38.327,37.997,37.662,37.336,37.031,36.763,36.542,36.376
RE[bar]:4.25,46.2,46.2,46.2,44.733,43.26,41.939,40.88,40.112,39.593,39.238,38.961,38.701,38.427,38.133,37.825,37.51,37.198,36.897,36.619,36.373,36.172,36.019
RE[bar]:4.265,45.482,45.482,45.482,44.054,42.627,41.354,40.339,39.604,39.104,38.754,38.473,38.205,37.925,37.631,37.332,37.036,36.749,36.477,36.227,36.007,35.827,35.691
RE[bar]:4.28,44.76,44.76,44.76,43.372,41.993,40.771,39.801,39.1,38.619,38.275,37.991,37.715,37.43,37.137,36.849,36.572,36.313,36.072,35.853,35.662,35.506,35.388
RE[bar]:4.295,44.033,44.033,44.033,42.688,41.36,40.19,39.265,38.599,38.138,37.802,37.515,37.232,36.942,36.651,36.374,36.119,35.888,35.68,35.494,35.334,35.203,35.105
RE[bar]:4.31,43.304,43.304,43.304,42.004,40.728,39.61,38.732,38.101,37.662,37.333,37.044,36.756,36.461,36.173,35.907,35.673,35.472,35.298,35.148,35.02,34.917,34.84
RE[bar]:4.325,42.572,42.572,42.572,41.32,40.097,39.033,38.203,37.608,37.19,36.869,36.579,36.285,35.986,35.7,35.447,35.235,35.063,34.925,34.81,34.716,34.642,34.588
RE[bar]:4.34,41.841,41.841,41.841,40.637,39.469,38.46,37.678,37.118,36.722,36.411,36.12,35.821,35.518,35.235,34.992,34.802,34.66,34.557,34.48,34.42,34.377,34.347
RE[bar]:4.355,41.112,41.112,41.112,39.958,38.846,37.892,37.157,36.634,36.26,35.957,35.666,35.362,35.056,34.774,34.543,34.373,34.261,34.193,34.153,34.129,34.117,34.113
RE[bar]:4.37,40.387,40.387,40.387,39.284,38.228,37.329,36.643,36.155,35.803,35.51,35.219,34.911,34.601,34.32,34.099,33.948,33.865,33.831,33.827,33.84,33.861,33.883
RE[bar]:4.385,39.67,39.67,39.67,38.618,37.618,36.775,36.135,35.684,35.354,35.07,34.78,34.467,34.153,33.873,33.659,33.527,33.47,33.469,33.502,33.551,33.605,33.655
RE[bar]:4.4,38.963,38.963,38.963,37.963,37.019,36.23,35.638,35.221,34.913,34.639,34.349,34.032,33.713,33.432,33.226,33.109,33.076,33.106,33.175,33.26,33.347,33.426
RE[bar]:4.415,38.27,38.27,38.27,37.321,36.432,35.697,35.151,34.769,34.482,34.218,33.928,33.607,33.282,33,32.798,32.695,32.683,32.742,32.844,32.964,33.085,33.193
RE[bar]:4.43,37.595,37.595,37.595,36.696,35.862,35.179,34.678,34.329,34.064,33.809,33.52,33.193,32.863,32.578,32.378,32.285,32.293,32.378,32.51,32.663,32.816,32.954
RE[bar]:4.445,36.941,36.941,36.941,36.091,35.31,34.678,34.22,33.905,33.66,33.414,33.125,32.794,32.457,32.167,31.968,31.883,31.905,32.012,32.172,32.356,32.54,32.706
RE[bar]:4.46,36.313,36.313,36.313,35.51,34.78,34.197,33.782,33.497,33.272,33.035,32.746,32.41,32.066,31.77,31.57,31.489,31.523,31.647,31.831,32.042,32.254,32.446
RE[bar]:4.475,35.715,35.715,35.715,34.957,34.276,33.74,33.364,33.11,32.903,32.674,32.385,32.044,31.692,31.39,31.186,31.106,31.147,31.285,31.487,31.721,31.958,32.174
RE[bar]:4.49,35.149,35.149,35.149,34.435,33.8,33.308,32.97,32.744,32.555,32.333,32.045,31.698,31.338,31.028,30.818,30.737,30.781,30.927,31.143,31.395,31.652,31.889
RE[bar]:4.5,34.621,34.621,34.621,33.947,33.355,32.904,32.602,32.402,32.229,32.015,31.726,31.374,31.006,30.687,30.47,30.384,30.427,30.577,30.801,31.065,31.337,31.59
RE[bar]:4.55,34.093,34.093,34.093,33.459,32,32,32,30,28,27,20,20,20,20,20,20,26.427,26.577,26.801,27.065,27.337,27.59
RE[bar]:4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RE[bar]:5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

