traction[kN]:,vitesse[km/h]:-5,vitesse[km/h]:0,vitesse[km/h]:5,vitesse[km/h]:10,vitesse[km/h]:15,vitesse[km/h]:20,vitesse[km/h]:25,vitesse[km/h]:30,vitesse[km/h]:35,vitesse[km/h]:40,vitesse[km/h]:45,vitesse[km/h]:50,vitesse[km/h]:55,vitesse[km/h]:60,vitesse[km/h]:65,vitesse[km/h]:70,vitesse[km/h]:75,vitesse[km/h]:80,vitesse[km/h]:85,vitesse[km/h]:90,vitesse[km/h]:95,vitesse[km/h]:100
consigne[%]:52,142.172,142.172,142.172,141.932,142.499,142.433,140.451,136.528,132.268,128.591,126.13,124.942,123.871,120.975,115.657,108.946,102.098,95.368,88.382,81.492,75.07,70.16
consigne[%]:53,145.017,145.017,145.017,144.752,145.305,145.248,143.237,139.214,134.84,131.061,128.53,127.313,126.223,123.253,117.817,110.977,103.998,97.14,90.031,83.009,76.458,71.457
consigne[%]:54,147.871,147.871,147.871,147.59,148.123,148.066,146.024,141.9,137.411,133.532,130.931,129.685,128.575,125.531,119.977,113.007,105.897,98.911,91.679,84.527,77.847,72.755
consigne[%]:55,150.732,150.732,150.732,150.442,150.95,150.885,148.811,144.587,139.982,136.003,133.331,132.057,130.927,127.809,122.137,115.038,107.796,100.682,93.328,86.045,79.235,74.052
consigne[%]:56,153.597,153.597,153.597,153.304,153.782,153.706,151.599,147.273,142.553,138.474,135.731,134.428,133.279,130.087,124.297,117.068,109.695,102.454,94.976,87.563,80.623,75.35
consigne[%]:57,156.465,156.465,156.465,156.171,156.619,156.527,154.386,149.96,145.125,140.945,138.131,136.8,135.631,132.365,126.456,119.099,111.595,104.225,96.625,89.081,82.012,76.647
consigne[%]:58,159.335,159.335,159.335,159.042,159.457,159.349,157.173,152.646,147.696,143.416,140.531,139.172,137.983,134.643,128.616,121.129,113.494,105.997,98.273,90.599,83.4,77.945
consigne[%]:59,162.205,162.205,162.205,161.913,162.296,162.171,159.96,155.332,150.267,145.887,142.932,141.543,140.335,136.92,130.776,123.16,115.393,107.768,99.922,92.116,84.789,79.242
consigne[%]:60,165.075,165.075,165.075,164.786,165.136,164.994,162.748,158.019,152.839,148.358,145.332,143.915,142.687,139.198,132.936,125.19,117.293,109.54,101.57,93.634,86.177,80.54
consigne[%]:61,167.946,167.946,167.946,167.659,167.976,167.816,165.535,160.705,155.41,150.829,147.732,146.287,145.039,141.476,135.096,127.221,119.192,111.311,103.219,95.152,87.566,81.837
consigne[%]:62,170.817,170.817,170.817,170.531,170.816,170.638,168.322,163.392,157.981,153.3,150.132,148.658,147.392,143.754,137.256,129.251,121.091,113.083,104.867,96.67,88.954,83.135
consigne[%]:63,173.688,173.688,173.688,173.404,173.656,173.461,171.11,166.078,160.552,155.771,152.532,151.03,149.744,146.032,139.415,131.282,122.99,114.854,106.516,98.188,90.343,84.433
consigne[%]:64,176.558,176.558,176.558,176.277,176.496,176.283,173.897,168.764,163.124,158.241,154.933,153.402,152.096,148.31,141.575,133.312,124.89,116.626,108.165,99.706,91.731,85.73
consigne[%]:65,179.429,179.429,179.429,179.15,179.336,179.106,176.684,171.451,165.695,160.712,157.333,155.773,154.448,150.588,143.735,135.343,126.789,118.397,109.813,101.223,93.12,87.028
consigne[%]:66,182.3,182.3,182.3,182.023,182.176,181.928,179.472,174.137,168.266,163.183,159.733,158.145,156.8,152.866,145.895,137.373,128.688,120.169,111.462,102.741,94.508,88.325
consigne[%]:67,185.171,185.171,185.171,184.896,185.016,184.75,182.259,176.824,170.837,165.654,162.133,160.517,159.152,155.144,148.055,139.404,130.587,121.94,113.11,104.259,95.897,89.623
consigne[%]:68,188.042,188.042,188.042,187.769,187.856,187.573,185.046,179.51,173.409,168.125,164.533,162.888,161.504,157.422,150.215,141.434,132.487,123.712,114.759,105.777,97.285,90.92
consigne[%]:69,190.912,190.912,190.912,190.642,190.696,190.395,187.834,182.196,175.98,170.596,166.933,165.26,163.856,159.7,152.374,143.465,134.386,125.483,116.407,107.295,98.674,92.218
consigne[%]:70,193.783,193.783,193.783,193.515,193.536,193.217,190.621,184.883,178.551,173.067,169.334,167.632,166.208,161.978,154.534,145.495,136.285,127.254,118.056,108.813,100.062,93.515
consigne[%]:71,196.654,196.654,196.654,196.387,196.376,196.04,193.408,187.569,181.123,175.538,171.734,170.003,168.56,164.256,156.694,147.526,138.185,129.026,119.704,110.33,101.451,94.813
consigne[%]:72,199.525,199.525,199.525,199.26,199.216,198.862,196.196,190.256,183.694,178.009,174.134,172.375,170.912,166.533,158.854,149.556,140.084,130.797,121.353,111.848,102.839,96.11
consigne[%]:73,202.395,202.395,202.395,202.133,202.056,201.685,198.983,192.942,186.265,180.48,176.534,174.747,173.264,168.811,161.014,151.587,141.983,132.569,123.001,113.366,104.227,97.408
consigne[%]:74,205.266,205.266,205.266,205.006,204.896,204.507,201.77,195.628,188.836,182.951,178.934,177.118,175.616,171.089,163.174,153.617,143.882,134.34,124.65,114.884,105.616,98.705
consigne[%]:75,208.137,208.137,208.137,207.879,207.735,207.329,204.558,198.315,191.408,185.422,181.335,179.49,177.968,173.367,165.334,155.648,145.782,136.112,126.298,116.402,107.004,100.003
consigne[%]:76,211.008,211.008,211.008,210.752,210.575,210.152,207.345,201.001,193.979,187.892,183.735,181.862,180.32,175.645,167.493,157.678,147.681,137.883,127.947,117.919,108.393,101.3
consigne[%]:77,213.878,213.878,213.878,213.625,213.415,212.974,210.132,203.688,196.55,190.363,186.135,184.233,182.672,177.923,169.653,159.709,149.58,139.655,129.596,119.437,109.781,102.598
consigne[%]:78,216.749,216.749,216.749,216.498,216.255,215.796,212.92,206.374,199.121,192.834,188.535,186.605,185.024,180.201,171.813,161.739,151.479,141.426,131.244,120.955,111.17,103.895
consigne[%]:79,219.62,219.62,219.62,219.37,219.095,218.619,215.707,209.06,201.693,195.305,190.935,188.977,187.376,182.479,173.973,163.77,153.379,143.198,132.893,122.473,112.558,105.193
consigne[%]:80,222.491,222.491,222.491,222.243,221.935,221.441,218.494,211.747,204.264,197.776,193.336,191.348,189.728,184.757,176.133,165.8,155.278,144.969,134.541,123.991,113.947,106.491
consigne[%]:81,225.362,225.362,225.362,225.116,224.775,224.264,221.282,214.433,206.835,200.247,195.736,193.72,192.08,187.035,178.293,167.831,157.177,146.741,136.19,125.509,115.335,107.788
consigne[%]:82,228.232,228.232,228.232,227.989,227.615,227.086,224.069,217.12,209.407,202.718,198.136,196.092,194.432,189.313,180.452,169.861,159.077,148.512,137.838,127.026,116.724,109.086
consigne[%]:83,231.103,231.103,231.103,230.862,230.455,229.908,226.856,219.806,211.978,205.189,200.536,198.463,196.784,191.591,182.612,171.892,160.976,150.284,139.487,128.544,118.112,110.383
consigne[%]:84,233.974,233.974,233.974,233.735,233.295,232.731,229.644,222.492,214.549,207.66,202.936,200.835,199.136,193.869,184.772,173.922,162.875,152.055,141.135,130.062,119.501,111.681
consigne[%]:85,236.845,236.845,236.845,236.608,236.135,235.553,232.431,225.179,217.12,210.131,205.337,203.207,201.488,196.146,186.932,175.953,164.774,153.827,142.784,131.58,120.889,112.978
consigne[%]:86,239.715,239.715,239.715,239.481,238.975,238.375,235.218,227.865,219.692,212.602,207.737,205.578,203.84,198.424,189.092,177.983,166.674,155.598,144.432,133.098,122.278,114.276
consigne[%]:87,242.586,242.586,242.586,242.353,241.815,241.198,238.006,230.552,222.263,215.073,210.137,207.95,206.192,200.702,191.252,180.013,168.573,157.369,146.081,134.616,123.666,115.573
consigne[%]:88,245.457,245.457,245.457,245.226,244.655,244.02,240.793,233.238,224.834,217.543,212.537,210.322,208.544,202.98,193.412,182.044,170.472,159.141,147.729,136.133,125.055,116.871
consigne[%]:89,248.328,248.328,248.328,248.099,247.495,246.842,243.58,235.924,227.405,220.014,214.937,212.693,210.896,205.258,195.571,184.074,172.371,160.912,149.378,137.651,126.443,118.168
consigne[%]:90,251.198,251.198,251.198,250.971,250.334,249.664,246.367,238.61,229.976,222.485,217.337,215.064,213.248,207.536,197.731,186.104,174.27,162.683,151.026,139.169,127.831,119.465
consigne[%]:91,254.066,254.066,254.066,253.842,253.172,252.485,249.152,241.295,232.546,224.954,219.735,217.434,215.598,209.812,199.889,188.134,176.168,164.454,152.673,140.685,129.219,120.762
consigne[%]:92,256.931,256.931,256.931,256.709,256.006,255.301,251.934,243.975,235.111,227.419,222.13,219.801,217.945,212.085,202.044,190.16,178.063,166.221,154.318,142.2,130.604,122.057
consigne[%]:93,259.785,259.785,259.785,259.564,258.829,258.106,254.704,246.645,237.667,229.875,224.516,222.158,220.283,214.349,204.191,192.178,179.951,167.982,155.957,143.709,131.984,123.347
consigne[%]:94,262.613,262.613,262.613,262.395,261.627,260.887,257.45,249.292,240.2,232.31,226.881,224.495,222.6,216.593,206.319,194.178,181.823,169.727,157.581,145.204,133.352,124.625
consigne[%]:95,265.39,265.39,265.39,265.174,264.374,263.617,260.146,251.891,242.688,234.7,229.203,226.789,224.875,218.797,208.408,196.142,183.66,171.441,159.176,146.672,134.695,125.88
consigne[%]:96,268.071,268.071,268.071,267.857,267.027,266.253,262.75,254.4,245.089,237.008,231.445,229.004,227.072,220.925,210.426,198.039,185.434,173.096,160.716,148.09,135.992,127.092
consigne[%]:97,270.596,270.596,270.596,270.384,269.524,268.735,265.201,256.763,247.351,239.181,233.555,231.09,229.141,222.928,212.325,199.825,187.104,174.654,162.166,149.425,137.213,128.233
consigne[%]:98,272.889,272.889,272.889,272.679,271.793,270.99,267.428,258.908,249.405,241.155,235.473,232.985,231.02,224.747,214.05,201.447,188.621,176.069,163.482,150.637,138.322,129.27
consigne[%]:99,274.877,274.877,274.877,274.668,273.759,272.944,269.358,260.768,251.185,242.865,237.134,234.627,232.648,226.324,215.546,202.852,189.936,177.295,164.624,151.688,139.284,130.168
consigne[%]:100,276.503,276.503,276.503,276.295,275.368,274.543,270.937,262.29,252.641,244.265,238.494,235.97,233.98,227.615,216.769,204.003,191.012,178.298,165.558,152.548,140.07,130.903

