dynamic_braking[kN]:,vitesse[km/h]:-5,vitesse[km/h]:0,vitesse[km/h]:5,vitesse[km/h]:10,vitesse[km/h]:15,vitesse[km/h]:20,vitesse[km/h]:25,vitesse[km/h]:30,vitesse[km/h]:35,vitesse[km/h]:40,vitesse[km/h]:45,vitesse[km/h]:50,vitesse[km/h]:55,vitesse[km/h]:60,vitesse[km/h]:65,vitesse[km/h]:70,vitesse[km/h]:75,vitesse[km/h]:80,vitesse[km/h]:85,vitesse[km/h]:90,vitesse[km/h]:95,vitesse[km/h]:100
consigne[%]:84,87.306,87.306,87.306,85.692,77.541,76.157,98.741,98.596,93.693,93.547,93.253,94.393,96.97,98.5,98.851,99.131,99.452,99.904,100.358,100.835,101.288,101.369
consigne[%]:85,86.852,86.852,86.852,85.682,77.914,76.975,99.954,99.815,95.215,95.075,94.707,95.485,97.807,99.628,100.044,100.325,100.653,101.106,101.56,102.035,102.488,102.593
consigne[%]:86,86.44,86.44,86.44,85.666,78.289,77.749,101.134,101.005,96.712,96.583,96.201,96.678,98.665,100.716,101.236,101.518,101.854,102.308,102.761,103.235,103.689,103.816
consigne[%]:87,86.084,86.084,86.084,85.641,78.666,78.462,102.271,102.157,98.178,98.065,97.718,97.958,99.58,101.758,102.426,102.711,103.056,103.509,103.963,104.435,104.889,105.04
consigne[%]:88,85.793,85.793,85.793,85.606,79.045,79.105,103.356,103.265,99.605,99.514,99.243,99.306,100.579,102.756,103.613,103.904,104.257,104.711,105.164,105.635,106.089,106.263
consigne[%]:89,85.572,85.572,85.572,85.561,79.426,79.672,104.389,104.326,100.993,100.93,100.763,100.703,101.675,103.723,104.792,105.098,105.459,105.912,106.366,106.835,107.289,107.487
consigne[%]:90,85.415,85.415,85.415,85.506,79.809,80.168,105.37,105.343,102.342,102.314,102.267,102.134,102.867,104.685,105.959,106.291,106.66,107.114,107.567,108.035,108.489,108.71
consigne[%]:91,85.314,85.314,85.314,85.442,80.193,80.604,106.309,106.322,103.658,103.671,103.746,103.587,104.142,105.673,107.108,107.483,107.861,108.315,108.768,109.235,109.688,109.932
consigne[%]:92,85.253,85.253,85.253,85.373,80.579,80.994,107.214,107.271,104.948,105.006,105.193,105.053,105.479,106.716,108.236,108.674,109.06,109.514,109.967,110.432,110.886,111.153
consigne[%]:93,85.221,85.221,85.221,85.299,80.964,81.353,108.094,108.198,106.218,106.322,106.601,106.519,106.853,107.831,109.343,109.86,110.254,110.708,111.162,111.625,112.079,112.369
consigne[%]:94,85.206,85.206,85.206,85.224,81.346,81.691,108.954,109.106,107.466,107.618,107.967,107.97,108.24,109.016,110.431,111.035,111.438,111.892,112.345,112.808,113.261,113.575
consigne[%]:95,85.2,85.2,85.2,85.148,81.721,82.013,109.791,109.991,108.687,108.887,109.282,109.385,109.616,110.251,111.504,112.189,112.601,113.054,113.508,113.969,114.422,114.758
consigne[%]:96,85.198,85.198,85.198,85.075,82.083,82.319,110.596,110.843,109.863,110.11,110.534,110.734,110.951,111.498,112.56,113.304,113.723,114.177,114.63,115.09,115.543,115.901
consigne[%]:97,85.198,85.198,85.198,85.006,82.425,82.606,111.353,111.644,110.97,111.261,111.7,111.986,112.211,112.708,113.586,114.353,114.78,115.233,115.687,116.145,116.599,116.977
consigne[%]:98,85.198,85.198,85.198,84.942,82.735,82.865,112.04,112.371,111.975,112.305,112.753,113.104,113.356,113.829,114.552,115.306,115.74,116.193,116.647,117.104,117.557,117.954
consigne[%]:99,85.199,85.199,85.199,84.888,83.003,83.09,112.635,113.001,112.845,113.211,113.662,114.058,114.349,114.81,115.42,116.133,116.571,117.025,117.479,117.935,118.388,118.801
consigne[%]:100,85.2,85.2,85.2,84.843,83.223,83.274,113.122,113.516,113.557,113.951,114.404,114.828,115.162,115.618,116.154,116.809,117.252,117.706,118.159,118.615,119.068,119.494

